order,window_index,row,col,map_class,stratum,wrong,reference_class
112,16059,125,59,4,1,,
113,7308,57,12,6,1,,
114,2092,16,44,6,1,,
115,11800,92,24,7,1,,
116,7591,59,39,7,1,,
117,2399,18,95,7,2,,
118,7918,61,110,7,2,,
119,4234,33,10,7,2,,
120,3320,25,120,7,2,,
121,11415,89,23,7,2,,
122,3850,30,10,7,2,,
123,4240,33,16,7,2,,
124,12811,100,11,4,2,,
125,7560,59,8,4,2,,
126,2065,16,17,4,2,,
127,15356,119,124,4,2,,
128,13278,103,94,4,2,,
129,6860,53,76,4,2,,
130,9019,70,59,7,2,,
131,3411,26,83,7,2,,
132,1120,8,96,7,2,,
133,12231,95,71,7,2,,
134,6050,47,34,7,2,,
135,12462,97,46,4,2,,
136,3448,26,120,7,2,,
137,7540,58,116,7,2,,
138,14107,110,27,4,2,,
139,1238,9,86,7,2,,
140,497,3,113,7,2,,
141,3601,28,17,7,2,,
142,3535,27,79,7,2,,
143,8748,68,44,7,2,,
144,12838,100,38,1,2,,
145,14784,115,64,7,2,,
146,4827,37,91,7,2,,
147,6422,50,22,7,2,,
148,15499,121,11,4,2,,
149,10375,81,7,7,2,,
150,11345,88,81,4,2,,
151,15308,119,76,4,2,,
152,2308,18,4,4,2,,
153,5879,45,119,7,2,,
154,14805,115,85,4,2,,
155,6819,53,35,7,2,,
156,7508,58,84,7,2,,
157,6397,49,125,7,2,,
158,11664,91,16,7,2,,
159,8945,69,113,7,2,,
160,12708,99,36,1,2,,
161,5193,40,73,4,2,,
162,2073,16,25,7,2,,
163,13406,104,94,4,2,,
164,13657,106,89,4,2,,
165,1224,9,72,7,2,,
166,8055,62,119,7,2,,
167,4074,31,106,7,2,,
168,12945,101,17,4,2,,
169,14206,110,126,4,2,,
170,8616,67,40,7,2,,
171,5814,45,54,4,2,,
172,803,6,35,7,2,,
173,3464,27,8,7,2,,
174,15582,121,94,6,2,,
175,1503,11,95,7,2,,
176,7582,59,30,7,2,,
177,3978,31,10,7,2,,
178,6745,52,89,7,3,,
179,15444,120,84,4,3,,
180,12703,99,31,4,3,,
181,653,5,13,4,3,,
182,8961,70,1,6,3,,
183,13649,106,81,4,3,,
184,1532,11,124,7,3,,
185,6877,53,93,7,3,,
186,2117,16,69,7,3,,
187,2544,19,112,7,3,,
188,7407,57,111,7,3,,
189,16198,126,70,4,3,,
190,4850,37,114,7,3,,
191,6678,52,22,7,3,,
192,14007,109,55,4,3,,
193,6654,51,126,7,3,,
194,6012,46,124,7,3,,
195,6766,52,110,7,3,,
196,2102,16,54,7,3,,
197,3317,25,117,7,3,,
198,14370,112,34,4,3,,
199,3703,28,119,7,3,,
200,8050,62,114,7,3,,
201,6479,50,79,4,3,,
202,9835,76,107,4,3,,
203,8999,70,39,7,3,,
204,6152,48,8,4,3,,
205,105,0,105,7,3,,
206,9815,76,87,4,3,,
207,10040,78,56,6,3,,
208,3184,24,112,7,3,,
209,14935,116,87,4,3,,
210,6332,49,60,4,3,,
211,15441,120,81,4,3,,
212,10716,83,92,4,3,,
213,7160,55,120,7,3,,
214,1107,8,83,7,3,,
215,13729,107,33,4,3,,
216,15085,117,109,4,3,,
217,8292,64,100,6,3,,
218,6505,50,105,7,3,,
219,8297,64,105,7,3,,
220,8098,63,34,7,3,,
221,6635,51,107,7,3,,
222,15723,122,107,6,3,,
223,1846,14,54,7,3,,
224,8154,63,90,7,3,,
225,1106,8,82,7,3,,
226,1234,9,82,7,3,,
227,2043,15,123,7,3,,
228,15751,123,7,4,3,,
229,6509,50,109,7,3,,
230,11399,89,7,7,3,,
231,4138,32,42,7,3,,
232,522,4,10,4,3,,
233,15957,124,85,4,3,,
234,11659,91,11,7,3,,
235,9828,76,100,4,3,,
236,6025,47,9,4,3,,
237,10888,85,8,7,3,,
238,6077,47,61,4,3,,
239,14161,110,81,4,3,,
240,13140,102,84,4,4,,
241,1616,12,80,7,4,,
242,13742,107,46,4,4,,
243,521,4,9,4,4,,
244,11108,86,100,4,4,,
245,14564,113,100,6,4,,
246,13686,106,118,6,4,,
247,10838,84,86,4,4,,
248,8485,66,37,7,4,,
249,8057,62,121,7,4,,
250,13794,107,98,6,4,,
251,9810,76,82,4,4,,
252,13042,101,114,6,4,,
253,1167,9,15,4,4,,
254,16216,126,88,6,4,,
255,10992,85,112,4,4,,
256,10840,84,88,4,4,,
257,12278,95,118,6,4,,
258,3373,26,45,7,4,,
259,10798,84,46,7,4,,
260,13623,106,55,4,4,,
261,11521,90,1,7,4,,
262,6305,49,33,7,4,,
263,896,7,0,4,4,,
264,10848,84,96,4,4,,
265,15994,124,122,4,4,,
266,14063,109,111,6,4,,
267,4208,32,112,7,4,,
268,13818,107,122,6,4,,
269,2495,19,63,7,4,,
270,12918,100,118,6,4,,
271,8076,63,12,6,4,,
272,14563,113,99,6,4,,
273,12328,96,40,6,4,,
274,12985,101,57,4,4,,
275,6277,49,5,4,4,,
276,5739,44,107,7,4,,
277,1562,12,26,7,4,,
278,12922,100,122,6,4,,
279,14049,109,97,6,4,,
280,12625,98,81,4,4,,
281,9610,75,10,6,4,,
282,140,1,12,4,4,,
283,11237,87,101,4,4,,
284,15818,123,74,4,4,,
285,9809,76,81,4,4,,
286,15876,124,4,4,4,,
287,10173,79,61,7,4,,
288,42,0,42,7,4,,
289,14862,116,14,4,4,,
290,15588,121,100,6,4,,
291,11575,90,55,6,4,,
292,13799,107,103,6,4,,
293,13428,104,116,6,4,,
294,13937,108,113,6,4,,
295,12153,94,121,6,4,,
296,15415,120,55,7,4,,
297,12536,97,120,6,4,,
298,1154,9,2,4,4,,
299,9705,75,105,4,4,,
