rank,window_index,row,col,margin,predicted_class,class_name
204,15349,119,117,0.005005,1,trees
205,6275,49,3,0.005005,6,built
206,11553,90,33,0.005127,8,snow_and_ice
207,8587,67,11,0.005127,2,grass
208,1340,10,60,0.005127,4,crops
209,186,1,58,0.005127,5,shrub_and_scrub
210,9740,76,12,0.005249,4,crops
211,4301,33,77,0.005249,6,built
212,16019,125,19,0.005371,0,water
213,11037,86,29,0.005371,8,snow_and_ice
214,10460,81,92,0.005371,2,grass
215,8243,64,51,0.005371,6,built
216,7999,62,63,0.005371,4,crops
217,5014,39,22,0.005371,1,trees
218,2823,22,7,0.005371,4,crops
219,1058,8,34,0.005371,5,shrub_and_scrub
220,14280,111,72,0.005493,5,shrub_and_scrub
221,3084,24,12,0.005493,6,built
222,1724,13,60,0.005493,6,built
223,16035,125,35,0.005615,4,crops
224,15899,124,27,0.005615,4,crops
225,11033,86,25,0.005615,5,shrub_and_scrub
226,4621,36,13,0.005615,6,built
227,3893,30,53,0.005615,5,shrub_and_scrub
228,1210,9,58,0.005615,4,crops
229,12897,100,97,0.005859,4,crops
230,10384,81,16,0.005859,5,shrub_and_scrub
231,9276,72,60,0.005859,7,bare
232,6167,48,23,0.005859,4,crops
233,1700,13,36,0.005859,5,shrub_and_scrub
234,13771,107,75,0.005981,4,crops
235,6231,48,87,0.005981,4,crops
236,14428,112,92,0.006104,6,built
237,5403,42,27,0.006104,6,built
238,9066,70,106,0.006226,4,crops
239,15766,123,22,0.006348,4,crops
240,11558,90,38,0.006348,6,built
241,10461,81,93,0.006348,4,crops
242,9446,73,102,0.006348,1,trees
243,8197,64,5,0.006348,4,crops
244,5836,45,76,0.006348,4,crops
245,5264,41,16,0.006348,6,built
246,5139,40,19,0.006348,6,built
247,1341,10,61,0.006348,4,crops
248,9876,77,20,0.00647,6,built
249,14972,116,124,0.006592,5,shrub_and_scrub
250,11920,93,16,0.006592,6,built
251,4886,38,22,0.006592,7,bare
252,2611,20,51,0.006592,5,shrub_and_scrub
253,14088,110,8,0.006714,5,shrub_and_scrub
254,9731,76,3,0.006714,6,built
255,3782,29,70,0.006714,5,shrub_and_scrub
256,15711,122,95,0.006836,6,built
257,13788,107,92,0.006836,4,crops
258,10334,80,94,0.006836,2,grass
259,6933,54,21,0.006836,4,crops
260,2822,22,6,0.006958,7,bare
261,434,3,50,0.006958,6,built
262,16281,127,25,0.00708,6,built
263,15657,122,41,0.00708,5,shrub_and_scrub
264,13894,108,70,0.00708,5,shrub_and_scrub
265,9421,73,77,0.00708,7,bare
266,14660,114,68,0.007202,5,shrub_and_scrub
267,14028,109,76,0.007202,4,crops
268,4251,33,27,0.007202,1,trees
269,16125,125,125,0.007324,7,bare
270,15529,121,41,0.007324,4,crops
271,12970,101,42,0.007324,4,crops
272,10931,85,51,0.007324,7,bare
273,10303,80,63,0.007324,6,built
274,8656,67,80,0.007324,5,shrub_and_scrub
275,7811,61,3,0.007324,5,shrub_and_scrub
276,5685,44,53,0.007324,4,crops
277,4627,36,19,0.007324,6,built
278,2992,23,48,0.007324,7,bare
279,1475,11,67,0.007324,7,bare
280,1429,11,21,0.007324,4,crops
281,9075,70,115,0.007446,5,shrub_and_scrub
282,5984,46,96,0.007446,7,bare
283,5337,41,89,0.007446,5,shrub_and_scrub
284,11774,91,126,0.007568,6,built
285,11290,88,26,0.007568,7,bare
286,10261,80,21,0.007568,5,shrub_and_scrub
287,5074,39,82,0.007568,5,shrub_and_scrub
288,702,5,62,0.007568,5,shrub_and_scrub
289,14872,116,24,0.00769,5,shrub_and_scrub
290,14532,113,68,0.00769,1,trees
291,10012,78,28,0.00769,5,shrub_and_scrub
292,3660,28,76,0.00769,7,bare
293,10494,81,126,0.007812,6,built
294,5964,46,76,0.007812,4,crops
295,3072,24,0,0.007812,7,bare
296,427,3,43,0.007812,6,built
297,9992,78,8,0.007935,5,shrub_and_scrub
298,7698,60,18,0.007935,4,crops
299,4884,38,20,0.007935,5,shrub_and_scrub
300,15997,124,125,0.008057,7,bare
301,15595,121,107,0.008057,2,grass
302,13310,103,126,0.008057,4,crops
303,8274,64,82,0.008057,6,built
304,7760,60,80,0.008057,7,bare
305,3638,28,54,0.008057,7,bare
306,2692,21,4,0.008057,4,crops
307,10625,83,1,0.008179,4,crops
308,568,4,56,0.008179,5,shrub_and_scrub
309,10440,81,72,0.008301,4,crops
310,10208,79,96,0.008301,4,crops
311,9999,78,15,0.008301,5,shrub_and_scrub
312,9546,74,74,0.008301,5,shrub_and_scrub
313,7954,62,18,0.008301,4,crops
314,7264,56,96,0.008301,7,bare
315,5431,42,55,0.008301,4,crops
316,2861,22,45,0.008301,7,bare
317,15401,120,41,0.008423,4,crops
318,5135,40,15,0.008423,7,bare
319,4254,33,30,0.008423,7,bare
320,10273,80,33,0.008545,5,shrub_and_scrub
321,9640,75,40,0.008545,7,bare
322,8261,64,69,0.008545,1,trees
323,6964,54,52,0.008545,5,shrub_and_scrub
324,5708,44,76,0.008545,2,grass
325,10380,81,12,0.008667,7,bare
326,9615,75,15,0.008667,6,built
327,8883,69,51,0.008667,6,built
328,3381,26,53,0.008667,7,bare
329,12031,93,127,0.008789,6,built
330,11549,90,29,0.008789,7,bare
331,10642,83,18,0.008789,6,built
332,4885,38,21,0.008789,7,bare
333,3938,30,98,0.008789,8,snow_and_ice
334,1315,10,35,0.008789,6,built
335,15891,124,19,0.008911,4,crops
336,13450,105,10,0.008911,7,bare
337,12190,95,30,0.008911,4,crops
338,8591,67,15,0.008911,1,trees
339,8208,64,16,0.008911,5,shrub_and_scrub
340,12999,101,71,0.009033,4,crops
341,10253,80,13,0.009033,6,built
342,10153,79,41,0.009033,1,trees
343,4374,34,22,0.009033,1,trees
344,11816,92,40,0.009277,7,bare
345,9734,76,6,0.009277,4,crops
346,8939,69,107,0.009277,1,trees
347,8409,65,89,0.009277,7,bare
348,7961,62,25,0.009277,6,built
349,5727,44,95,0.009277,2,grass
350,8199,64,7,0.009399,6,built
351,69,0,69,0.009399,1,trees
352,11927,93,23,0.009521,6,built
353,11680,91,32,0.009521,8,snow_and_ice
354,8933,69,101,0.009521,5,shrub_and_scrub
355,5977,46,89,0.009521,4,crops
356,564,4,52,0.009521,6,built
357,16126,125,126,0.009644,4,crops
358,3657,28,73,0.009644,7,bare
359,10254,80,14,0.009766,6,built
360,4547,35,67,0.009766,4,crops
361,9073,70,113,0.009888,7,bare
362,6984,54,72,0.009888,1,trees
363,4543,35,63,0.009888,7,bare
364,15900,124,28,0.01001,4,crops
365,14469,113,5,0.01001,1,trees
366,12290,96,2,0.01001,7,bare
367,9149,71,61,0.01001,6,built
368,8606,67,30,0.01001,7,bare
369,8341,65,21,0.01001,6,built
370,6954,54,42,0.01001,7,bare
371,6699,52,43,0.01001,6,built
372,5002,39,10,0.01001,2,grass
373,4059,31,91,0.01001,6,built
374,7774,60,94,0.010132,7,bare
375,3380,26,52,0.010132,7,bare
376,15719,122,103,0.010254,4,crops
377,15653,122,37,0.010254,5,shrub_and_scrub
378,14085,110,5,0.010254,2,grass
379,13451,105,11,0.010254,4,crops
380,12711,99,39,0.010254,1,trees
381,11681,91,33,0.010254,8,snow_and_ice
382,4945,38,81,0.010376,4,crops
383,192,1,64,0.010376,1,trees
384,15273,119,41,0.010498,1,trees
385,8711,68,7,0.010498,4,crops
386,8527,66,79,0.010498,7,bare
387,5130,40,10,0.010498,2,grass
388,3251,25,51,0.010498,5,shrub_and_scrub
389,8595,67,19,0.01062,5,shrub_and_scrub
390,5013,39,21,0.01062,4,crops
391,16095,125,95,0.010742,7,bare
392,10624,83,0,0.010742,5,shrub_and_scrub
393,8528,66,80,0.010742,6,built
394,11062,86,54,0.010986,6,built
395,10333,80,93,0.010986,2,grass
396,7313,57,17,0.010986,7,bare
397,15150,118,46,0.011108,4,crops
398,5776,45,16,0.011108,5,shrub_and_scrub
399,15906,124,34,0.01123,4,crops
400,13828,108,4,0.01123,4,crops
401,12568,98,24,0.01123,6,built
402,9198,71,110,0.01123,4,crops
403,8016,62,80,0.01123,7,bare
404,6108,47,92,0.01123,7,bare
405,13449,105,9,0.011353,7,bare
406,7828,61,20,0.011353,6,built
407,15892,124,20,0.011475,4,crops
408,13531,105,91,0.011475,6,built
409,12632,98,88,0.011475,6,built
410,11815,92,39,0.011475,6,built
411,9616,75,16,0.011475,4,crops
412,4168,32,72,0.011475,6,built
413,6837,53,53,0.011597,4,crops
414,6658,52,2,0.011597,1,trees
415,1346,10,66,0.011597,7,bare
416,15764,123,20,0.011719,4,crops
417,14324,111,116,0.011719,5,shrub_and_scrub
418,8712,68,8,0.011719,1,trees
419,6978,54,66,0.011719,4,crops
420,828,6,60,0.011719,5,shrub_and_scrub
421,15783,123,39,0.011963,4,crops
422,14216,111,8,0.011963,4,crops
423,11291,88,27,0.011963,7,bare
424,7469,58,45,0.011963,7,bare
425,4125,32,29,0.011963,5,shrub_and_scrub
426,10270,80,30,0.012085,5,shrub_and_scrub
427,9296,72,80,0.012085,5,shrub_and_scrub
428,5519,43,15,0.012085,6,built
429,5518,43,14,0.012085,6,built
430,13699,107,3,0.012207,2,grass
431,9552,74,80,0.012207,4,crops
432,8073,63,9,0.012207,4,crops
433,3805,29,93,0.012207,7,bare
434,13772,107,76,0.012329,7,bare
435,7956,62,20,0.012329,5,shrub_and_scrub
436,6170,48,26,0.012329,1,trees
437,5341,41,93,0.012329,5,shrub_and_scrub
438,16144,126,16,0.012451,7,bare
439,16063,125,63,0.012451,4,crops
440,15404,120,44,0.012451,8,snow_and_ice
441,11844,92,68,0.012451,7,bare
442,10356,80,116,0.012451,4,crops
443,9777,76,49,0.012451,7,bare
444,5330,41,82,0.012451,4,crops
445,1599,12,63,0.012451,6,built
446,5382,42,6,0.012573,7,bare
447,11810,92,34,0.012695,7,bare
448,8084,63,20,0.012695,6,built
449,3104,24,32,0.012695,6,built
450,14983,117,7,0.012939,4,crops
451,11812,92,36,0.012939,7,bare
452,7939,62,3,0.012939,5,shrub_and_scrub
453,2820,22,4,0.012939,7,bare
454,939,7,43,0.012939,5,shrub_and_scrub
455,15350,119,118,0.013062,4,crops
456,12324,96,36,0.013062,6,built
457,3118,24,46,0.013062,5,shrub_and_scrub
458,315,2,59,0.013062,6,built
459,11341,88,77,0.013184,4,crops
460,9061,70,101,0.013184,1,trees
461,7810,61,2,0.013184,4,crops
462,4129,32,33,0.013184,6,built
463,3771,29,59,0.013184,5,shrub_and_scrub
464,945,7,49,0.013184,6,built
465,12105,94,73,0.013306,7,bare
466,4037,31,69,0.013306,6,built
467,15889,124,17,0.013428,2,grass
468,11925,93,21,0.013428,7,bare
469,11302,88,38,0.013428,6,built
470,9247,72,31,0.013428,6,built
471,8658,67,82,0.013428,7,bare
472,8320,65,0,0.013428,2,grass
473,7062,55,22,0.013428,4,crops
474,4685,36,77,0.013428,6,built
475,16304,127,48,0.01355,7,bare
476,15093,117,117,0.01355,4,crops
477,13768,107,72,0.01355,4,crops
478,9604,75,4,0.01355,4,crops
479,7992,62,56,0.01355,5,shrub_and_scrub
480,16124,125,124,0.013672,4,crops
481,13324,104,12,0.013672,4,crops
482,12841,100,41,0.013672,4,crops
483,8078,63,14,0.013672,6,built
484,3637,28,53,0.013672,5,shrub_and_scrub
485,14748,115,28,0.013916,4,crops
486,14476,113,12,0.013916,6,built
487,10904,85,24,0.013916,7,bare
488,9245,72,29,0.013916,6,built
489,8805,68,101,0.013916,2,grass
490,5524,43,20,0.013916,5,shrub_and_scrub
491,445,3,61,0.013916,6,built
492,14409,112,73,0.014038,4,crops
493,9098,71,10,0.014038,6,built
494,2576,20,16,0.014038,1,trees
495,9528,74,56,0.01416,7,bare
496,6172,48,28,0.01416,1,trees
497,2343,18,39,0.01416,1,trees
498,10808,84,56,0.014282,5,shrub_and_scrub
499,536,4,24,0.014282,7,bare
500,15451,120,91,0.014404,4,crops
501,3768,29,56,0.014404,7,bare
502,5713,44,81,0.014526,4,crops
503,8349,65,29,0.014648,7,bare
504,8118,63,54,0.014648,5,shrub_and_scrub
505,5515,43,11,0.014648,4,crops
506,5432,42,56,0.014648,4,crops
507,2828,22,12,0.014648,4,crops
508,2217,17,41,0.014648,1,trees
509,11813,92,37,0.014771,6,built
510,10930,85,50,0.014893,6,built
511,9954,77,98,0.014893,6,built
512,8460,66,12,0.014893,2,grass
513,1066,8,42,0.014893,6,built
514,940,7,44,0.015015,5,shrub_and_scrub
515,14278,111,70,0.015137,1,trees
516,11022,86,14,0.015137,7,bare
517,10462,81,94,0.015137,4,crops
518,10059,78,75,0.015137,6,built
519,7435,58,11,0.015137,6,built
520,5434,42,58,0.015137,4,crops
521,3767,29,55,0.015137,5,shrub_and_scrub
522,830,6,62,0.015137,4,crops
523,5389,42,13,0.015259,4,crops
524,13899,108,75,0.015381,4,crops
525,12802,100,2,0.015381,6,built
526,13901,108,77,0.015503,7,bare
527,6169,48,25,0.015503,1,trees
528,2697,21,9,0.015503,7,bare
529,9997,78,13,0.015625,4,crops
530,4929,38,65,0.015625,7,bare
531,4759,37,23,0.015625,7,bare
532,7056,55,16,0.015747,4,crops
533,1962,15,42,0.015747,5,shrub_and_scrub
534,10209,79,97,0.015869,1,trees
535,10104,78,120,0.015869,4,crops
536,9761,76,33,0.015869,7,bare
537,9474,74,2,0.015869,4,crops
538,14902,116,54,0.015991,4,crops
539,5916,46,28,0.015991,1,trees
540,5536,43,32,0.015991,6,built
541,11547,90,27,0.016113,7,bare
542,11047,86,39,0.016113,6,built
543,10231,79,119,0.016113,4,crops
544,4041,31,73,0.016113,4,crops
545,2477,19,45,0.016113,6,built
546,811,6,43,0.016113,6,built
547,14491,113,27,0.016235,7,bare
548,10918,85,38,0.016235,1,trees
549,9756,76,28,0.016235,5,shrub_and_scrub
550,11431,89,39,0.016357,7,bare
551,7179,56,11,0.016357,4,crops
552,5779,45,19,0.016357,4,crops
553,9626,75,26,0.016479,6,built
554,6019,47,3,0.016479,4,crops
555,5207,40,87,0.016479,4,crops
556,2610,20,50,0.016479,6,built
557,15097,117,121,0.016602,1,trees
558,12930,101,2,0.016602,7,bare
559,9874,77,18,0.016602,6,built
560,9659,75,59,0.016602,6,built
561,8032,62,96,0.016602,6,built
562,5271,41,23,0.016602,6,built
563,14279,111,71,0.016724,8,snow_and_ice
564,8002,62,66,0.016724,1,trees
565,2091,16,43,0.016724,1,trees
566,9807,76,79,0.016846,6,built
567,8402,65,82,0.016846,6,built
568,8216,64,24,0.016846,6,built
569,12863,100,63,0.016968,7,bare
570,9420,73,76,0.016968,7,bare
571,8370,65,50,0.016968,7,bare
572,12385,96,97,0.01709,4,crops
573,11992,93,88,0.01709,2,grass
574,11693,91,45,0.01709,6,built
575,5141,40,21,0.01709,6,built
576,8726,68,22,0.017212,7,bare
577,7492,58,68,0.017212,5,shrub_and_scrub
578,5339,41,91,0.017212,5,shrub_and_scrub
579,15548,121,60,0.017334,7,bare
580,10289,80,49,0.017334,6,built
581,9345,73,1,0.017334,5,shrub_and_scrub
582,8714,68,10,0.017334,2,grass
583,6931,54,19,0.017334,2,grass
584,5600,43,96,0.017334,2,grass
585,5476,42,100,0.017334,7,bare
586,15773,123,29,0.017578,6,built
587,5909,46,21,0.017578,7,bare
588,5390,42,14,0.017578,5,shrub_and_scrub
589,3744,29,32,0.017578,1,trees
590,10027,78,43,0.0177,4,crops
591,8003,62,67,0.0177,1,trees
592,5525,43,21,0.0177,4,crops
593,183,1,55,0.0177,5,shrub_and_scrub
594,8015,62,79,0.017822,6,built
595,6849,53,65,0.017822,5,shrub_and_scrub
596,10337,80,97,0.018066,1,trees
597,9871,77,15,0.018066,6,built
598,8863,69,31,0.018066,6,built
599,3927,30,87,0.018066,7,bare
600,2598,20,38,0.018066,6,built
601,1187,9,35,0.018066,6,built
602,15596,121,108,0.018188,2,grass
603,11468,89,76,0.018188,4,crops
604,3789,29,77,0.018188,7,bare
605,11090,86,82,0.018311,4,crops
606,7093,55,53,0.018311,5,shrub_and_scrub
607,5470,42,94,0.018311,2,grass
608,4896,38,32,0.018311,7,bare
609,2443,19,11,0.018311,4,crops
610,8713,68,9,0.018433,4,crops
611,1579,12,43,0.018433,7,bare
612,10082,78,98,0.018555,6,built
613,9673,75,73,0.018555,7,bare
614,15024,117,48,0.018677,5,shrub_and_scrub
615,12319,96,31,0.018677,5,shrub_and_scrub
616,12744,99,72,0.018799,4,crops
617,10911,85,31,0.018799,7,bare
618,9743,76,15,0.018799,5,shrub_and_scrub
619,9545,74,73,0.018799,7,bare
620,6828,53,44,0.018799,4,crops
621,5584,43,80,0.018921,4,crops
622,15208,118,104,0.019043,6,built
623,9625,75,25,0.019043,4,crops
624,8213,64,21,0.019043,6,built
625,3656,28,72,0.019043,7,bare
626,11190,87,54,0.019165,6,built
627,7079,55,39,0.019165,6,built
628,15376,120,16,0.019287,4,crops
629,15028,117,52,0.019287,5,shrub_and_scrub
630,9425,73,81,0.019287,4,crops
631,9183,71,95,0.019287,4,crops
632,5648,44,16,0.019287,5,shrub_and_scrub
633,2699,21,11,0.019287,4,crops
634,399,3,15,0.019287,4,crops
635,14716,114,124,0.019409,4,crops
636,13579,106,11,0.019409,4,crops
637,10788,84,36,0.019409,7,bare
638,8069,63,5,0.019409,4,crops
639,7691,60,11,0.019409,6,built
640,14276,111,68,0.019531,7,bare
641,14811,115,91,0.019775,6,built
642,14452,112,116,0.019775,5,shrub_and_scrub
643,14208,111,0,0.019775,4,crops
644,11811,92,35,0.019775,8,snow_and_ice
645,10463,81,95,0.019775,4,crops
646,9635,75,35,0.019775,7,bare
647,3809,29,97,0.019775,7,bare
648,12769,99,97,0.019897,4,crops
649,13130,102,74,0.02002,4,crops
650,9628,75,28,0.02002,5,shrub_and_scrub
651,8718,68,14,0.02002,6,built
652,7703,60,23,0.02002,1,trees
653,5712,44,80,0.02002,2,grass
654,9074,70,114,0.020142,7,bare
655,3898,30,58,0.020142,1,trees
656,15154,118,50,0.020264,5,shrub_and_scrub
657,275,2,19,0.020264,4,crops
658,15539,121,51,0.020386,7,bare
659,11040,86,32,0.020386,8,snow_and_ice
660,694,5,54,0.020508,7,bare
661,14768,115,48,0.02063,4,crops
662,9884,77,28,0.02063,5,shrub_and_scrub
663,1573,12,37,0.02063,6,built
664,15893,124,21,0.020752,2,grass
665,14458,112,122,0.020752,5,shrub_and_scrub
666,13383,104,71,0.020752,4,crops
667,10394,81,26,0.020752,6,built
668,10205,79,93,0.020752,4,crops
669,7695,60,15,0.020752,4,crops
670,5267,41,19,0.020752,6,built
671,4377,34,25,0.020752,0,water
672,14658,114,66,0.020874,7,bare
673,9759,76,31,0.020874,7,bare
674,7373,57,77,0.020874,7,bare
675,2860,22,44,0.020874,7,bare
676,14209,111,1,0.020996,4,crops
677,10989,85,109,0.020996,1,trees
678,10332,80,92,0.020996,2,grass
679,9758,76,30,0.020996,7,bare
680,7646,59,94,0.020996,1,trees
681,300,2,44,0.021118,7,bare
682,9080,70,120,0.02124,7,bare
683,5427,42,51,0.02124,7,bare
684,3935,30,95,0.02124,8,snow_and_ice
685,15870,123,126,0.021362,7,bare
686,14406,112,70,0.021362,5,shrub_and_scrub
687,5078,39,86,0.021362,4,crops
688,14873,116,25,0.021484,4,crops
689,9588,74,116,0.021484,4,crops
690,8704,68,0,0.021484,4,crops
691,7761,60,81,0.021484,5,shrub_and_scrub
692,5299,41,51,0.021484,7,bare
693,4126,32,30,0.021484,1,trees
694,493,3,109,0.021484,7,bare
695,13957,109,5,0.021606,2,grass
696,11647,90,127,0.021606,6,built
697,11559,90,39,0.021606,8,snow_and_ice
