order,window_index,row,col,map_class,stratum,wrong,reference_class
141,12402,96,114,6,,0,6
142,782,6,14,4,,0,4
143,5783,45,23,4,,1,1
144,9733,76,5,5,,1,4
145,656,5,16,4,,0,4
146,8005,62,69,7,,0,7
147,14530,113,66,7,,1,4
148,11581,90,61,6,,0,6
149,6400,50,0,4,,1,1
150,8370,65,50,7,,0,7
151,13545,105,105,6,,0,6
152,9736,76,8,6,,1,4
153,5543,43,39,7,,0,7
154,15973,124,101,6,,0,6
155,15754,123,10,6,,1,4
156,4381,34,29,7,,0,7
157,9597,74,125,7,,0,7
158,14109,110,29,4,,0,4
159,15194,118,90,4,,0,4
160,11590,90,70,7,,0,7
161,13206,103,22,4,,0,4
162,2009,15,89,7,,0,7
163,6019,47,3,4,,1,1
164,15113,118,9,4,,0,4
165,12575,98,31,4,,0,4
166,7053,55,13,6,,1,4
167,12004,93,100,4,,0,4
168,9356,73,12,6,,1,4
169,13056,102,0,7,,0,7
170,11773,91,125,6,,1,4
171,3361,26,33,6,,1,1
172,8139,63,75,7,,0,7
173,3160,24,88,7,,0,7
174,14091,110,11,4,,0,4
175,8040,62,104,7,,0,7
176,3876,30,36,7,,0,7
177,6470,50,70,4,,0,4
178,2779,21,91,7,,0,7
179,6046,47,30,6,,1,7
180,13454,105,14,4,,0,4
181,12811,100,11,4,,0,4
182,14441,112,105,6,,0,6
183,15479,120,119,4,,0,4
184,9779,76,51,6,,1,1
185,14551,113,87,4,,0,4
186,11909,93,5,7,,0,7
187,3672,28,88,7,,0,7
188,7205,56,37,7,,0,7
189,15054,117,78,4,,0,4
190,9299,72,83,4,,1,7
191,10123,79,11,1,,1,4
192,4743,37,7,7,,0,7
193,2386,18,82,7,,0,7
194,10919,85,39,7,,0,7
195,5981,46,93,6,,1,4
196,419,3,35,7,,0,7
197,3626,28,42,7,,0,7
198,6197,48,53,4,,0,4
199,2383,18,79,7,,0,7
200,12505,97,89,4,,0,4
201,10451,81,83,4,,0,4
202,6169,48,25,1,,1,7
203,6810,53,26,7,,0,7
204,261,2,5,4,,0,4
205,8750,68,46,7,,0,7
206,10267,80,27,6,,1,7
207,4191,32,95,7,,0,7
208,11652,91,4,7,,0,7
209,262,2,6,4,,0,4
210,15069,117,93,6,,0,6
211,2395,18,91,7,,0,7
212,8991,70,31,6,,1,7
213,2150,16,102,7,,0,7
214,13987,109,35,6,,1,4
215,6533,51,5,4,,0,4
216,14535,113,71,4,,0,4
217,4494,35,14,7,,0,7
218,88,0,88,7,,0,7
219,2269,17,93,7,,0,7
220,9422,73,78,7,,0,7
221,15425,120,65,4,,0,4
222,1461,11,53,7,,0,7
223,15786,123,42,4,,0,4
224,14580,113,116,6,,1,4
225,7773,60,93,7,,0,7
226,12799,99,127,6,,1,4
227,16161,126,33,4,,0,4
228,7700,60,20,1,,1,4
229,2023,15,103,7,,0,7
230,4627,36,19,6,,1,1
231,14719,114,127,4,,0,4
232,9822,76,94,4,,0,4
233,6263,48,119,7,,0,7
234,13968,109,16,1,,1,4
235,14480,113,16,4,,0,4
236,15346,119,114,4,,0,4
237,13797,107,101,6,,0,6
238,13131,102,75,4,,0,4
239,806,6,38,7,,0,7
240,15790,123,46,5,,1,4
241,14700,114,108,6,,0,6
242,13951,108,127,4,,0,4
243,10349,80,109,4,,0,4
244,4292,33,68,7,,0,7
245,4756,37,20,7,,1,1
246,6735,52,79,4,,0,4
247,4153,32,57,7,,0,7
248,5243,40,123,7,,0,7
249,11678,91,30,7,,0,7
250,2932,22,116,7,,0,7
251,13719,107,23,4,,0,4
252,8434,65,114,7,,0,7
253,1336,10,56,7,,0,7
254,10896,85,16,1,,1,4
255,6664,52,8,4,,0,4
256,3623,28,39,7,,0,7
257,3119,24,47,7,,1,1
258,6249,48,105,7,,0,7
259,8567,66,119,7,,0,7
260,5964,46,76,4,,0,4
261,1978,15,58,7,,0,7
262,8324,65,4,1,,1,4
263,1256,9,104,7,,0,7
264,1478,11,70,7,,0,7
265,15295,119,63,4,,0,4
266,6739,52,83,4,,0,4
267,9049,70,89,4,,0,4
268,5121,40,1,7,,0,7
269,14146,110,66,7,,0,7
270,6855,53,71,4,,0,4
271,1333,10,53,7,,0,7
272,998,7,102,7,,0,7
273,13576,106,8,4,,0,4
274,12375,96,87,4,,0,4
275,8111,63,47,7,,0,7
276,15704,122,88,4,,0,4
277,840,6,72,7,,0,7
278,1276,9,124,7,,0,7
279,3177,24,105,7,,0,7
280,10198,79,86,4,,0,4
281,12968,101,40,5,,1,4
282,14310,111,102,6,,0,6
283,10474,81,106,4,,0,4
284,1288,10,8,4,,0,4
285,15146,118,42,4,,0,4
286,7317,57,21,1,,1,4
287,10894,85,14,1,,1,4
288,3714,29,2,7,,0,7
289,10277,80,37,6,,1,7
290,5700,44,68,4,,0,4
291,10089,78,105,4,,0,4
292,15590,121,102,6,,1,4
293,1175,9,23,7,,0,7
294,43,0,43,7,,0,7
295,1428,11,20,4,,0,4
296,10892,85,12,7,,0,7
297,13704,107,8,4,,0,4
298,8175,63,111,7,,0,7
299,356,2,100,7,,0,7
