window,task,label,pred,error,baseline_neg_margin,boundary,tile_phase,top1_prob,label_quantile_in_window,other_patches_mean_boundary
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_23,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,5,5,0,-7.57409,0.000,0.00048,0.9993,0.000,0.488
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_29,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,2,2,0,-8.46955,0.125,0.00041,0.9997,0.198,0.359
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_30,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,5,5,0,-13.32089,0.000,0.00003,1.0000,0.167,0.278
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_33,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,5,5,0,-2.52410,0.000,0.05990,0.9251,0.048,0.353
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_35,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,2,2,0,-9.19454,0.000,0.00928,0.9999,0.206,0.222
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_39,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,4,4,0,-3.93696,0.000,0.05685,0.9808,0.119,0.298
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_40,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,5,5,0,-9.77460,0.000,0.00003,0.9999,0.341,0.111
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_45,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,5,5,0,-15.35321,0.000,0.00000,1.0000,0.381,0.071
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_47,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,4,4,0,-5.44422,0.375,0.37201,0.9953,0.563,0.347
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_48,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,2,2,0,-4.84004,0.000,0.02101,0.9836,0.286,0.131
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_8,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,2,2,0,-7.04883,0.000,0.00060,0.9990,0.230,0.246
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_9,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,5,5,0,-7.93781,0.125,0.00028,0.9996,0.349,0.276
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_0,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,8,8,0,-20.55294,0.125,0.00001,1.0000,0.206,0.403
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_10,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,6,5,1,-5.75767,0.250,0.15469,0.9969,0.825,0.155
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_11,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,8,8,0,-9.80216,0.375,0.00309,0.9999,0.500,0.442
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_13,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,8,8,0,-6.10269,0.250,0.00173,0.9978,0.294,0.393
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_16,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,8,8,0,-9.35656,0.375,0.01327,0.9999,0.492,0.415
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_17,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,8,8,0,-11.61783,0.125,0.00002,1.0000,0.484,0.228
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_18,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,8,8,0,-21.26688,0.125,0.00004,1.0000,0.127,0.391
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_2,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,8,8,0,-13.91402,0.000,0.00000,1.0000,0.151,0.290
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_22,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,8,5,1,-0.69157,0.500,0.39550,0.6656,0.437,0.552
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_26,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,1,1,0,-2.42808,0.375,0.42704,0.8905,0.421,0.454
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_28,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,8,8,0,-17.25783,0.125,0.00014,1.0000,0.214,0.387
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_3,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,8,8,0,-10.79333,0.125,0.00002,1.0000,0.246,0.423
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_4,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,8,8,0,-22.42691,0.125,0.00000,1.0000,0.254,0.379
spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7_point_7,spatial_split\task_1a29e215-eb34-46cd-bd56-981abce579e7,6,5,1,-5.42415,0.000,0.00329,0.9956,0.500,0.000
spatial_split\task_20546e37-3fce-46aa-9aa0-54ce34cad031_point_17,spatial_split\task_20546e37-3fce-46aa-9aa0-54ce34cad031,4,4,0,-6.79535,0.000,0.08460,0.9986,0.452,0.028
spatial_split\task_20546e37-3fce-46aa-9aa0-54ce34cad031_point_21,spatial_split\task_20546e37-3fce-46aa-9aa0-54ce34cad031,4,3,1,-3.23747,0.375,0.08135,0.9361,0.508,0.355
spatial_split\task_20546e37-3fce-46aa-9aa0-54ce34cad031_point_3,spatial_split\task_20546e37-3fce-46aa-9aa0-54ce34cad031,4,3,1,-3.49800,0.875,0.45952,0.9645,0.921,0.435
spatial_split\task_20546e37-3fce-46aa-9aa0-54ce34cad031_point_30,spatial_split\task_20546e37-3fce-46aa-9aa0-54ce34cad031,4,4,0,-7.61327,0.000,0.00038,0.9995,0.500,0.000
spatial_split\task_20546e37-3fce-46aa-9aa0-54ce34cad031_point_8,spatial_split\task_20546e37-3fce-46aa-9aa0-54ce34cad031,0,0,0,-0.43926,0.750,0.42102,0.5480,0.817,0.516
spatial_split\task_21f02234-a1c8-48f4-8c31-a80fab5dce97_point_11,spatial_split\task_21f02234-a1c8-48f4-8c31-a80fab5dce97,4,4,0,-9.33686,0.000,0.00081,0.9999,0.500,0.000
spatial_split\task_21f02234-a1c8-48f4-8c31-a80fab5dce97_point_19,spatial_split\task_21f02234-a1c8-48f4-8c31-a80fab5dce97,4,4,0,-1.48628,0.000,0.13942,0.8155,0.500,0.000
spatial_split\task_21f02234-a1c8-48f4-8c31-a80fab5dce97_point_2,spatial_split\task_21f02234-a1c8-48f4-8c31-a80fab5dce97,2,0,1,-1.37381,1.000,0.59777,0.5968,0.992,0.234
spatial_split\task_21f02234-a1c8-48f4-8c31-a80fab5dce97_point_3,spatial_split\task_21f02234-a1c8-48f4-8c31-a80fab5dce97,4,4,0,-14.93062,0.000,0.00001,1.0000,0.437,0.040
spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf_point_11,spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf,5,5,0,-10.37814,0.000,0.00217,1.0000,0.500,0.000
spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf_point_14,spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf,5,4,1,-3.73060,0.875,0.65252,0.9561,0.992,0.042
spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf_point_19,spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf,5,2,1,-3.05997,0.375,0.55800,0.9466,0.556,0.383
spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf_point_2,spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf,5,5,0,-16.26995,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf_point_32,spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf,5,5,0,-4.98611,0.000,0.00614,0.9926,0.270,0.143
spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf_point_41,spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf,5,5,0,-8.99144,0.000,0.00019,0.9998,0.405,0.056
spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf_point_8,spatial_split\task_25c1929a-d8f4-4181-a070-acd40487e7bf,4,4,0,-3.27043,0.375,0.05413,0.9634,0.167,0.601
spatial_split\task_2b0bcdc8-eaa6-40a8-b939-6f9049d4e9df_point_14,spatial_split\task_2b0bcdc8-eaa6-40a8-b939-6f9049d4e9df,2,2,0,-6.70590,0.000,0.00096,0.9987,0.246,0.155
spatial_split\task_2b0bcdc8-eaa6-40a8-b939-6f9049d4e9df_point_20,spatial_split\task_2b0bcdc8-eaa6-40a8-b939-6f9049d4e9df,5,8,1,-1.01298,1.000,0.32579,0.7333,1.000,0.071
spatial_split\task_2b0bcdc8-eaa6-40a8-b939-6f9049d4e9df_point_6,spatial_split\task_2b0bcdc8-eaa6-40a8-b939-6f9049d4e9df,2,2,0,-11.08397,0.000,0.00002,1.0000,0.310,0.127
spatial_split\task_2b0bcdc8-eaa6-40a8-b939-6f9049d4e9df_point_7,spatial_split\task_2b0bcdc8-eaa6-40a8-b939-6f9049d4e9df,2,2,0,-8.95984,0.125,0.00041,0.9998,0.389,0.268
spatial_split\task_2b0bcdc8-eaa6-40a8-b939-6f9049d4e9df_point_8,spatial_split\task_2b0bcdc8-eaa6-40a8-b939-6f9049d4e9df,2,2,0,-12.97166,0.000,0.00000,1.0000,0.349,0.091
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_0,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,4,4,0,-5.50362,0.250,0.43514,0.9930,0.484,0.294
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_11,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,5,5,0,-9.97030,0.000,0.00004,1.0000,0.500,0.000
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_18,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,4,4,0,-10.32783,0.125,0.00008,1.0000,0.254,0.312
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_19,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-7.73359,0.000,0.00035,0.9995,0.048,0.333
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_2,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,0,0,0,-2.90491,0.875,0.41702,0.9481,0.984,0.224
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_20,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-4.60327,0.000,0.34968,0.9900,0.159,0.254
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_22,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-8.45919,0.000,0.00048,0.9998,0.183,0.250
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_23,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,4,4,0,-7.28821,0.375,0.42908,0.9990,0.484,0.391
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_25,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,0,2,1,-0.63770,0.250,0.27910,0.6530,0.238,0.464
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_28,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-7.25280,0.250,0.00121,0.9984,0.516,0.274
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_29,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-15.80376,0.000,0.00000,1.0000,0.254,0.159
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_3,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-8.40595,0.000,0.00993,0.9997,0.079,0.302
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_31,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-8.02789,0.000,0.11009,0.9997,0.183,0.214
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_32,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-9.72254,0.125,0.01694,0.9999,0.278,0.284
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_33,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-15.11916,0.000,0.00010,1.0000,0.349,0.103
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_37,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,4,4,0,-2.71583,0.375,0.33676,0.9355,0.500,0.379
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_38,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-6.43814,0.250,0.40801,0.9980,0.778,0.171
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_39,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,4,4,0,-4.42845,0.500,0.12340,0.9872,0.770,0.345
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_4,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,5,5,0,-6.80660,0.000,0.00082,0.9989,0.381,0.063
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_41,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,0,0,0,-1.09384,1.000,0.37417,0.7491,1.000,0.143
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_46,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,4,4,0,-4.65341,0.125,0.01093,0.9905,0.603,0.157
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_51,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-2.55595,0.000,0.05955,0.9231,0.175,0.222
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_53,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-9.92899,0.125,0.00063,0.9999,0.087,0.458
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_54,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-3.50610,0.250,0.02149,0.9709,0.698,0.202
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_56,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-6.02717,0.000,0.00194,0.9975,0.175,0.222
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_60,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-7.89202,0.125,0.06648,0.9995,0.302,0.292
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_61,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,4,4,0,-9.79928,0.000,0.00534,0.9999,0.095,0.286
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_63,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,4,1,-3.37940,0.750,0.44525,0.9671,0.937,0.202
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_65,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,4,4,0,-7.59410,0.000,0.00171,0.9995,0.095,0.306
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_66,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-2.14567,0.750,0.40642,0.8781,0.921,0.421
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_67,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-5.80341,0.000,0.00445,0.9967,0.103,0.266
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_7,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-2.25529,0.125,0.41341,0.9046,0.278,0.304
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_70,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-8.74791,0.250,0.22582,0.9998,0.524,0.246
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_71,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-3.84335,0.250,0.01324,0.9790,0.571,0.286
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_74,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,4,4,0,-6.11813,0.375,0.28552,0.9978,0.722,0.248
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_75,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,4,1,-0.05755,0.500,0.38839,0.4853,0.841,0.246
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_81,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,4,4,0,-6.38684,0.375,0.00137,0.9983,0.786,0.192
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_82,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-5.40868,0.125,0.13948,0.9955,0.413,0.232
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_85,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-6.61652,0.125,0.11795,0.9987,0.246,0.312
spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d_point_87,spatial_split\task_2cfe9626-32ec-4f11-8747-d23e3437676d,2,2,0,-6.10318,0.000,0.00275,0.9965,0.190,0.246
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_15,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,0,2,1,-4.03037,0.375,0.03602,0.9825,0.587,0.367
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_16,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,4,8,1,-0.47472,0.625,0.55786,0.5786,0.786,0.431
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_19,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,2,2,0,-7.03492,0.000,0.00045,0.9991,0.452,0.028
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_2,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,4,2,1,-1.17939,0.500,0.47009,0.6757,0.841,0.238
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_34,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,8,8,0,-16.00299,0.000,0.00000,1.0000,0.437,0.048
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_40,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,8,8,0,-6.84190,0.125,0.01871,0.9977,0.698,0.133
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_47,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,2,2,0,-9.00025,0.000,0.00298,0.9999,0.437,0.040
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_48,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,2,2,0,-5.61510,0.500,0.39341,0.9963,0.746,0.337
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_5,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,2,2,0,-5.18225,0.000,0.00451,0.9944,0.452,0.028
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_53,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,6,6,0,-2.75667,0.000,0.04721,0.9402,0.397,0.060
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_54,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,4,4,0,-6.38822,0.000,0.01685,0.9976,0.206,0.234
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_6,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,2,2,0,-7.42127,0.000,0.00044,0.9993,0.143,0.234
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_61,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,2,2,0,-1.87626,0.125,0.37729,0.8289,0.357,0.292
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_66,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,8,8,0,-12.54725,0.125,0.12791,1.0000,0.381,0.300
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_69,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,8,8,0,-7.53460,0.000,0.00295,0.9993,0.190,0.202
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_72,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,8,8,0,-8.34244,0.125,0.00408,0.9997,0.484,0.248
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_78,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,2,2,0,-4.09349,0.250,0.01021,0.9835,0.532,0.294
spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80_point_82,spatial_split\task_344c1a79-17eb-4807-aa0f-912248dc1f80,8,8,0,-13.54235,0.000,0.00001,1.0000,0.317,0.115
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_108,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,4,5,1,-2.10482,0.625,0.54856,0.8885,0.722,0.478
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_109,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,4,2,1,-4.89181,0.375,0.10132,0.9913,0.310,0.498
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_111,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,8,8,0,-10.67625,0.125,0.00002,1.0000,0.159,0.478
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_116,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,2,2,0,-3.61975,0.125,0.01651,0.9738,0.198,0.407
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_13,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,2,2,0,-0.24489,0.250,0.33203,0.5527,0.397,0.377
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_28,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,4,4,0,-7.39770,0.250,0.34458,0.9992,0.349,0.393
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_37,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,2,2,0,-8.76224,0.125,0.00217,0.9997,0.357,0.315
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_40,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,4,4,0,-5.18842,0.500,0.38585,0.9944,0.500,0.492
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_41,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,2,2,0,-12.06761,0.125,0.00014,1.0000,0.929,0.030
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_45,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,4,4,0,-1.08126,0.000,0.30807,0.7462,0.127,0.286
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_58,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,4,5,1,-0.13385,0.500,0.32997,0.5319,0.397,0.548
