rank,window_index,row,col,margin,predicted_class,class_name,boundary_neighbours
452,13613,106,45,0.766144,2,shrubland_savanna,1
453,2267,17,91,0.766662,0,woodland_forest,4
454,5987,46,99,0.767034,2,shrubland_savanna,1
455,4060,31,92,0.76768,2,shrubland_savanna,2
456,2559,19,127,0.768349,4,grassland_barren,4
457,12950,101,22,0.769911,4,grassland_barren,5
458,9272,72,56,0.770659,8,urban_dense_development,1
459,3102,24,30,0.771735,2,shrubland_savanna,2
460,2620,20,60,0.772617,2,shrubland_savanna,3
461,956,7,60,0.773158,6,montane_forest,2
462,14892,116,44,0.773271,2,shrubland_savanna,2
463,2306,18,2,0.774146,0,woodland_forest,3
464,2646,20,86,0.774697,3,herbaceous_wetland,6
465,14587,113,123,0.774999,2,shrubland_savanna,6
466,10313,80,73,0.775481,2,shrubland_savanna,3
467,9926,77,70,0.775617,4,grassland_barren,5
468,6099,47,83,0.777443,2,shrubland_savanna,2
469,3237,25,37,0.780913,2,shrubland_savanna,3
470,5521,43,17,0.781995,0,woodland_forest,5
471,8264,64,72,0.783461,4,grassland_barren,3
472,2348,18,44,0.783731,0,woodland_forest,6
473,9400,73,56,0.783763,8,urban_dense_development,2
474,782,6,14,0.783966,6,montane_forest,1
475,292,2,36,0.784321,0,woodland_forest,0
476,11285,88,21,0.785361,4,grassland_barren,5
477,3811,29,99,0.785639,4,grassland_barren,6
478,5685,44,53,0.78595,5,agriculture_settlement,4
479,8522,66,74,0.78611,2,shrubland_savanna,5
480,10959,85,79,0.787059,4,grassland_barren,6
481,12811,100,11,0.789548,4,grassland_barren,1
482,9796,76,68,0.790278,4,grassland_barren,3
483,14762,115,42,0.790435,4,grassland_barren,3
484,16284,127,28,0.792227,2,shrubland_savanna,5
485,1877,14,85,0.792413,2,shrubland_savanna,6
486,2593,20,33,0.793131,6,montane_forest,7
487,2386,18,82,0.794123,2,shrubland_savanna,7
488,11673,91,25,0.794474,2,shrubland_savanna,7
489,832,6,64,0.79609,0,woodland_forest,1
490,11980,93,76,0.796475,4,grassland_barren,4
491,14380,112,44,0.796567,2,shrubland_savanna,7
492,1892,14,100,0.796868,3,herbaceous_wetland,8
493,10052,78,68,0.79712,8,urban_dense_development,3
494,3976,31,8,0.797373,5,agriculture_settlement,6
495,7885,61,77,0.79848,2,shrubland_savanna,4
496,15139,118,35,0.798573,2,shrubland_savanna,6
497,13192,103,8,0.798658,4,grassland_barren,1
498,15268,119,36,0.799067,2,shrubland_savanna,6
499,2223,17,47,0.799702,2,shrubland_savanna,4
500,14393,112,57,0.799799,4,grassland_barren,2
501,1676,13,12,0.80102,0,woodland_forest,3
502,4404,34,52,0.80111,0,woodland_forest,8
503,11844,92,68,0.801485,2,shrubland_savanna,5
504,15880,124,8,0.80188,4,grassland_barren,7
505,10751,83,127,0.801912,2,shrubland_savanna,1
506,15509,121,21,0.802588,2,shrubland_savanna,7
507,4157,32,61,0.803286,5,agriculture_settlement,5
508,14101,110,21,0.804362,4,grassland_barren,3
509,15644,122,28,0.805858,2,shrubland_savanna,3
510,1803,14,11,0.808102,6,montane_forest,3
511,2782,21,94,0.808251,2,shrubland_savanna,3
512,957,7,61,0.808755,0,woodland_forest,6
513,11410,89,18,0.810096,8,urban_dense_development,7
514,3064,23,120,0.810403,4,grassland_barren,2
515,3250,25,50,0.810445,2,shrubland_savanna,5
516,14281,111,73,0.810774,2,shrubland_savanna,3
517,4369,34,17,0.810965,8,urban_dense_development,4
518,12711,99,39,0.811441,4,grassland_barren,1
519,428,3,44,0.811475,6,montane_forest,0
520,11429,89,37,0.81204,2,shrubland_savanna,4
521,13575,106,7,0.812329,4,grassland_barren,3
522,1433,11,25,0.812968,0,woodland_forest,3
523,15662,122,46,0.81361,2,shrubland_savanna,3
524,1734,13,70,0.814489,2,shrubland_savanna,4
525,9051,70,91,0.814918,4,grassland_barren,6
526,11592,90,72,0.815018,2,shrubland_savanna,2
527,1947,15,27,0.815756,0,woodland_forest,3
528,328,2,72,0.817099,0,woodland_forest,0
529,6301,49,29,0.819938,4,grassland_barren,4
530,3107,24,35,0.819948,2,shrubland_savanna,3
531,16281,127,25,0.82056,4,grassland_barren,0
532,2872,22,56,0.820966,2,shrubland_savanna,5
533,8781,68,77,0.82136,2,shrubland_savanna,3
534,1567,12,31,0.822022,0,woodland_forest,1
535,5919,46,31,0.822828,3,herbaceous_wetland,8
536,300,2,44,0.824333,6,montane_forest,0
537,13042,101,114,0.824892,4,grassland_barren,7
538,5918,46,30,0.824959,5,agriculture_settlement,1
539,11471,89,79,0.826537,2,shrubland_savanna,0
540,15274,119,42,0.826928,2,shrubland_savanna,0
541,961,7,65,0.828443,0,woodland_forest,0
542,15138,118,34,0.828775,2,shrubland_savanna,5
543,6034,47,18,0.829104,4,grassland_barren,6
544,12810,100,10,0.829306,2,shrubland_savanna,8
545,13258,103,74,0.830346,4,grassland_barren,6
